
gs1	gs1.ngenes	gs2	gs2.ngenes	ncommon	pvalue	FDR
0	17	GO:0044281	1774	7	0.000118657126149	0.00916215563298
0	17	GO:0044282	541	2	0.0550876731696	0.00916215563298
0	17	GO:0044283	512	4	0.000383238554665	0.0295011396605
0	17	GO:0090083	6	0	1.0	0.0295011396605
0	17	GO:0000226	176	3	0.000234277070516	0.0102069150774
0	17	GO:0006682	1	0	1.0	0.0102069150774
0	17	GO:0006021	1	1	0.0	0.0
0	17	GO:0016051	153	3	0.000153845495634	0.0049244294808
0	17	GO:0045556	1	0	1.0	0.0049244294808
0	17	GO:0009987	11282	15	0.000524050999915	0.0159697144419
0	17	GO:0006725	216	1	0.14226461825	0.0159697144419
0	17	GO:0034637	96	3	3.71301678238e-05	0.000959610259051
0	17	GO:0034635	2	0	1.0	0.000959610259051
0	17	GO:0015994	1	1	0.0	0.0
0	17	GO:0009249	5	1	0.00283841705083	0.0486876800346
0	17	GO:0060620	3	0	1.0	0.0486876800346
0	17	GO:0006015	2	1	0.000710316299692	0.0115076743323
0	17	GO:0006014	7	1	0.00425478040285	0.0115076743323
0	17	GO:0046101	4	1	0.00212952452764	0.0325856207446
0	17	GO:0046100	5	1	0.00283841705083	0.0325856207446
0	17	GO:0046103	3	0	1.0	0.0434197353799
0	17	GO:0051329	304	3	0.00117517113545	0.0160363891484
0	17	GO:0006865	93	1	0.0633981096091	0.0160363891484
0	17	GO:0007017	285	3	0.000973824227742	0.0130163083862
0	17	GO:0007010	516	3	0.00532223279465	0.0130163083862
0	17	GO:0046148	44	2	0.000402103888461	0.00503909966588
0	17	GO:0019088	1	0	1.0	0.00503909966588
0	17	GO:0044237	6022	10	0.00321103094172	0.039481049232
0	17	GO:0044236	39	0	1.0	0.039481049232
0	17	GO:0046165	87	3	2.73717119812e-05	0.00031639480063
0	17	GO:0046164	90	1	0.0613918649024	0.00031639480063
0	17	GO:0019322	6	1	0.00354683557696	0.0402659302438
0	17	GO:0014819	5	0	1.0	0.0402659302438
0	17	GO:0007051	54	3	6.06957726667e-06	6.84258946573e-05
0	17	GO:0032481	19	0	1.0	6.84258946573e-05
0	17	GO:0006091	398	3	0.00255441681793	0.028477605529
0	17	GO:0006090	27	0	1.0	0.028477605529
0	17	GO:0046364	62	2	0.000820435529463	0.00885731538476
0	17	GO:0016339	24	0	1.0	0.00885731538476
0	17	GO:0019302	4	1	0.00212952452764	0.0221744473117
0	17	GO:0019307	5	0	1.0	0.0221744473117
0	17	GO:0015979	1	1	0.0	0.0
0	17	GO:0009117	504	3	0.00498292433011	0.0456124333628
0	17	GO:0009116	91	2	0.00179332081738	0.0164126133889
0	17	GO:0009115	1	0	1.0	0.0164126133889
0	17	GO:0006657	7	1	0.00425478040285	0.0381198551266
0	17	GO:0006656	17	1	0.0113082404026	0.0381198551266
0	17	GO:0007067	285	3	0.000973824227742	0.00870613430537
0	17	GO:0030641	18	0	1.0	0.00870613430537
